,,,,,,,,,,,,
,TABLEAU DES FLUX DE TRÉSORERIE,,,,,,,,,,,
,,,,,,,,,,,,
,Entreprise :,[Nom],,,,,,,,,,
,,,,,,,,,,,,
,Poste,N-2,N-1,N (Actuel),N+1,N+2,N+3,N+4,N+5,,,
,FLUX DE TRÉSORERIE D'EXPLOITATION,,,,,,,,,,,
,  Résultat net,,,,,,,,,,,
,  Dotations aux amortissements,,,,,,,,,,,
,  Variation des stocks,,,,,,,,,,,
,  Variation des créances,,,,,,,,,,,
,  Variation des dettes,,,,,,,,,,,
,TOTAL FTE,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,
,FLUX DE TRÉSORERIE D'INVESTISSEMENT,,,,,,,,,,,
,  Acquisitions d'immobilisations,,,,,,,,,,,
,  Cessions d'immobilisations,,,,,,,,,,,
,TOTAL FTI,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,
,FLUX DE TRÉSORERIE DE FINANCEMENT,,,,,,,,,,,
,  Augmentation de capital,,,,,,,,,,,
,  Emprunts,,,,,,,,,,,
,  Remboursements d'emprunts,,,,,,,,,,,
,  Dividendes versés,,,,,,,,,,,
,TOTAL FTF,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,
,VARIATION DE TRÉSORERIE,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,
,Trésorerie d'ouverture,,,,,,,,,,,
,Trésorerie de clôture,0,0,0,0,0,0,0,0,,,
