,,,,,,,,,,,,,,,
,BASE DE DONNÉES DES ACHETEURS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,RÉCAPITULATIF,,,,,,,,,,,,,,
,Total acheteurs :,8,,,,,,,,,,,,,
,Actifs :,6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ID,Nom,Type,Secteur cible,Ticket min (M€),Ticket max (M€),Zone géographique,Statut,Contact principal,Email,Téléphone,Dernier contact,Intérêt,Commentaires,
,1,[Fonds A],PE,Industrie,5,50,Europe,Actif,[Nom],[Email],[Tél],15/01/2024,Élevé,[Commentaire],
,2,[Fonds B],Family Office,Services,2,20,France,Actif,[Nom],[Email],[Tél],01/02/2024,Moyen,[Commentaire],
,3,[Groupe C],Stratégique,Tech,10,100,Monde,Actif,[Nom],[Email],[Tél],20/01/2024,Élevé,[Commentaire],
,4,[Fonds D],PE,Santé,15,80,Europe,Inactif,[Nom],[Email],[Tél],10/12/2023,Faible,[Commentaire],
,5,[Investisseur E],Business Angel,Tous,0.5,5,France,Actif,[Nom],[Email],[Tél],05/02/2024,Moyen,[Commentaire],
,6,[Fonds F],VC,Tech,1,10,Europe,Actif,[Nom],[Email],[Tél],25/01/2024,Élevé,[Commentaire],
,7,[Groupe G],Stratégique,BTP,20,200,France,Actif,[Nom],[Email],[Tél],12/02/2024,Moyen,[Commentaire],
