,,,,,,,,,,,,,,,
,BASE DE DONNÉES DES VENDEURS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,RÉCAPITULATIF,,,,,,,,,,,,,,
,Total vendeurs :,6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ID,Entreprise,Secteur,CA (M€),EBITDA %,Localisation,Statut,Motif vente,Contact,Email,Téléphone,Date première rencontre,Potentiel,Commentaires,
,1,[Entreprise A],Industrie,15,0.12,Paris,Actif,Retraite,[Nom],[Email],[Tél],10/01/2024,Élevé,[Commentaire],
,2,[Entreprise B],Services,8,0.15,Lyon,En vente,Croissance,[Nom],[Email],[Tél],15/01/2024,Élevé,[Commentaire],
,3,[Entreprise C],Tech,5,0.2,Bordeaux,Actif,Pas de repreneur,[Nom],[Email],[Tél],20/01/2024,Moyen,[Commentaire],
,4,[Entreprise D],Santé,25,0.18,Marseille,En vente,Concentration,[Nom],[Email],[Tél],05/02/2024,Élevé,[Commentaire],
,5,[Entreprise E],BTP,12,0.08,Lille,À relancer,Crise,[Nom],[Email],[Tél],01/02/2024,Faible,[Commentaire],
