,,,,,,,,,,,,,,,
,SUIVI DES TEASERS & INFORMATION MEMORANDUMS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Entreprise :,[Nom de l'entreprise],,Type de transaction :,[Cession/Acquisition/etc.],,,,,,,,,,
,,,,,,,,,,,,,,,
,RÉCAPITULATIF,,,,,,,,,,,,,,
,Teasers envoyés :,0,,,,,,,,,,,,,
,IM envoyés :,0,,,,,,,,,,,,,
,Total envois :,11,,,,,,,,,,,,,
,Taux de réponse :,0,,,,,,,,,,,,,
,NDA signés :,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,N°,Date envoi,Destinataire,Type document,Contact,Email,Statut,Date relance,Date réponse,NDA,Date NDA,Accès data room,Intérêt,Commentaires,
,1,01/01/2024,[Fonds A],Teaser,[Nom],[Email],Envoyé,15/01/2024,,,,,,[Commentaire],
,2,01/01/2024,[Fonds B],Teaser,[Nom],[Email],Répondu,,10/01/2024,Signé,12/01/2024,Oui,Élevé,[Commentaire],
,3,01/01/2024,[Groupe C],Teaser,[Nom],[Email],Sans réponse,15/01/2024,,,,,,[Commentaire],
,4,05/01/2024,[Fonds B],IM,[Nom],[Email],Répondu,,08/01/2024,Signé,10/01/2024,Oui,Élevé,[Commentaire],
,5,05/01/2024,[Fonds D],IM,[Nom],[Email],Envoyé,20/01/2024,,,,,,[Commentaire],
,6,10/01/2024,[Fonds E],Teaser,[Nom],[Email],Répondu,,12/01/2024,En cours,,,Moyen,[Commentaire],
,7,10/01/2024,[Groupe F],Teaser,[Nom],[Email],Sans réponse,25/01/2024,,,,,,[Commentaire],
,8,15/01/2024,[Fonds G],IM,[Nom],[Email],Envoyé,30/01/2024,,,,,,[Commentaire],
