,,,,,,,,,,
,CHECKLIST D'INTÉGRATION POST-TRANSACTION,,,,,,,,,
,,,,,,,,,,
,Entreprise acquise :,[Nom de l'entreprise],,Date de closing :,[JJ/MM/AAAA],,Acquéreur :,[Nom de l'acquéreur],,
,,,,,,,,,,
,AVANCEMENT GLOBAL,,,,,,,,,
,Tâches totales :,33,,Progression :,0,,,,,
,Terminées :,0,,,,,,,,
,,,,,,,,,,
,Phase,Domaine,Tâche,Responsable,Statut,Priorité,Date cible,Date réalisation,Commentaires,
,Jour 1,Juridique,Notification aux autorités,,À faire,Critique,J,,,
,Jour 1,Juridique,Transfert des titres,,À faire,Critique,J,,,
,Jour 1,Financier,Paiement du prix,,À faire,Critique,J,,,
,Jour 1,RH,Communication aux salariés,,À faire,Critique,J,,,
,Jour 1,Communication,Communiqué de presse,,À faire,Haute,J,,,
,Semaine 1,RH,Réunion de présentation équipe,,À faire,Haute,J+3,,,
,Semaine 1,RH,Identification des talents clés,,À faire,Haute,J+5,,,
,Semaine 1,Financier,Ouverture nouveaux comptes bancaires,,À faire,Haute,J+5,,,
,Semaine 1,IT,Accès aux systèmes,,À faire,Haute,J+3,,,
,Semaine 1,Commercial,Réunion clients clés,,À faire,Moyenne,J+7,,,
,Mois 1,RH,Plan de rétention des talents,,À faire,Haute,M1,,,
,Mois 1,RH,Révision packages de rémunération,,À faire,Moyenne,M1,,,
,Mois 1,Financier,Intégration reporting groupe,,À faire,Haute,M1,,,
,Mois 1,Financier,Harmonisation politique de trésorerie,,À faire,Moyenne,M1,,,
,Mois 1,Opérationnel,Audit des processus,,À faire,Moyenne,M1,,,
,Mois 1,Commercial,Analyse du portefeuille clients,,À faire,Moyenne,M1,,,
,Mois 1,IT,Plan d'intégration systèmes,,À faire,Moyenne,M1,,,
,Mois 1,Juridique,Révision des contrats majeurs,,À faire,Moyenne,M1,,,
,Mois 3,RH,Évaluation de la culture d'entreprise,,À faire,Moyenne,M3,,,
,Mois 3,RH,Formation des équipes,,À faire,Basse,M3,,,
,Mois 3,Financier,Première consolidation,,À faire,Haute,M3,,,
,Mois 3,Opérationnel,Identification des synergies,,À faire,Haute,M3,,,
,Mois 3,Commercial,Plan de cross-selling,,À faire,Moyenne,M3,,,
,Mois 3,IT,Début migration systèmes,,À faire,Moyenne,M3,,,
,Mois 6,Stratégique,Revue stratégique intégrée,,À faire,Haute,M6,,,
,Mois 6,Opérationnel,Implémentation des synergies,,À faire,Haute,M6,,,
,Mois 6,RH,Réorganisation si nécessaire,,À faire,Moyenne,M6,,,
,Mois 6,Financier,Premier bilan post-acquisition,,À faire,Moyenne,M6,,,
,Mois 6,IT,Fin migration systèmes,,À faire,Moyenne,M6,,,
,Mois 12,Stratégique,Bilan d'intégration,,À faire,Haute,M12,,,
,Mois 12,Financier,Analyse de la création de valeur,,À faire,Haute,M12,,,
,Mois 12,RH,Enquête de satisfaction,,À faire,Moyenne,M12,,,
